sub	 task	 sess	 trl	 item	 acc	     rts
106	    1	    5	   8	    9	   1	  440.30
106	    1	    5	   9	    1	   1	  312.15
106	    1	    5	  10	    7	   1	  558.45
106	    1	    5	  11	    5	   1	  395.01
106	    1	    5	  12	    9	   1	  497.05
106	    1	    5	  13	   11	   1	  382.08
106	    1	    5	  14	    7	   1	  793.25
106	    1	    5	  15	    5	   1	  519.11
106	    1	    5	  16	    5	   1	  416.73
106	    1	    5	  17	    1	   1	  456.28
106	    1	    5	  18	   11	   1	  361.88
106	    1	    5	  19	    1	   1	  319.67
106	    1	    5	  20	    3	   1	  442.49
106	    1	    5	  21	    3	   1	  340.88
106	    1	    5	  22	    7	   1	  875.93
106	    1	    5	  23	    1	   1	  305.40
106	    1	    5	  24	    3	   1	  322.31
106	    1	    5	  25	    3	   1	  321.08
106	    1	    5	  26	   11	   1	  376.57
106	    1	    5	  27	   11	   1	  358.52
106	    1	    5	  28	    1	   1	  325.52
106	    1	    5	  29	    9	   1	  427.92
106	    1	    5	  30	    5	   1	  696.89
106	    1	    5	  31	    3	   1	  407.27
106	    1	    5	  32	    7	   1	  798.71
106	    1	    5	  33	   11	   1	  349.04
106	    1	    5	  34	    9	   1	  407.14
106	    1	    5	  35	    7	   1	  776.95
106	    1	    5	  36	   11	   1	  429.42
106	    1	    5	  37	    7	   1	  736.41
106	    1	    5	  38	   11	   1	  336.05
106	    1	    5	  39	    5	   1	  346.52
106	    1	    5	  40	    5	   1	  359.58
106	    1	    5	  41	   11	   1	  395.08
106	    1	    5	  42	    5	   1	  341.66
106	    1	    5	  43	    9	   1	  352.57
106	    1	    5	  44	    5	   1	  376.18
106	    1	    5	  45	    7	   1	  419.23
106	    1	    5	  46	   11	   1	  372.34
106	    1	    5	  47	    9	   1	  358.85
106	    1	    5	  48	    3	   1	  365.43
106	    1	    5	  49	    3	   1	  367.23
106	    1	    5	  50	    1	   1	  333.41
106	    1	    5	  51	    7	   1	  447.00
106	    1	    5	  52	   11	   1	  387.97
106	    1	    5	  53	    9	   1	  367.17
106	    1	    5	  54	    1	   1	  330.36
106	    1	    5	  55	    3	   1	  364.55
106	    1	    5	  56	   11	   1	  335.72
106	    1	    5	  57	    9	   1	  346.49
106	    1	    5	  58	    9	   1	  401.10
106	    1	    5	  59	    7	   1	 1038.80
106	    1	    5	  60	    5	   1	  455.51
106	    1	    5	  61	    3	   1	  345.64
106	    1	    5	  62	    3	   1	  324.52
106	    1	    5	  63	    5	   1	  317.87
106	    1	    5	  64	    9	   1	  370.32
106	    1	    5	  65	    3	   1	  339.34
106	    1	    5	  66	    9	   1	  367.43
106	    1	    5	  67	    7	   1	  574.36
106	    1	    5	  68	    5	   1	  368.09
106	    1	    5	  69	   11	   1	  423.88
106	    1	    5	  70	    1	   1	  302.40
106	    1	    5	  71	    1	   1	  334.76
106	    1	    5	  72	   11	   1	  318.76
106	    1	    5	  73	    3	   1	  347.70
106	    1	    5	  74	    9	   1	  331.79
106	    1	    5	  75	    9	   1	  393.23
106	    1	    5	  76	   11	   1	  347.08
106	    1	    5	  77	    5	   1	  674.86
106	    1	    5	  78	    3	   1	  359.96
106	    1	    5	  79	    1	   1	  356.16
106	    1	    5	  80	    9	   1	  384.60
